iter	Passed	Remaining
668	16418	8123
669	16438	8096
670	16455	8068
671	16474	8040
672	16492	8013
673	16510	7985
674	16531	7959
675	16548	7931
676	16566	7903
677	16584	7876
678	16605	7850
679	16630	7826
680	16656	7802
681	16679	7777
682	16700	7751
683	16724	7726
684	16747	7701
685	16768	7675
686	16807	7657
687	16831	7632
688	16864	7612
689	16894	7590
690	16918	7565
691	16956	7547
692	16978	7521
693	16999	7495
694	17027	7472
695	17060	7451
696	17081	7425
697	17105	7400
698	17125	7374
699	17146	7348
700	17169	7323
701	17190	7297
702	17210	7271
703	17230	7244
704	17251	7218
705	17274	7193
706	17297	7168
707	17321	7143
708	17345	7119
709	17368	7094
710	17392	7069
711	17416	7044
712	17438	7019
713	17459	6993
714	17489	6971
715	17515	6947
716	17540	6923
717	17563	6898
718	17586	6873
719	17616	6850
720	17639	6825
721	17661	6800
722	17684	6775
723	17707	6750
724	17732	6726
725	17755	6700
726	17774	6674
727	17796	6649
728	17826	6626
729	17850	6602
730	17872	6576
731	17894	6551
732	17920	6527
733	17974	6513
734	18066	6513
735	18139	6506
736	18180	6487
737	18239	6475
738	18271	6453
739	18300	6429
740	18341	6410
741	18424	6406
742	18458	6384
743	18482	6359
744	18505	6334
745	18526	6308
746	18546	6281
747	18563	6254
748	18582	6227
749	18631	6210
750	18747	6215
751	18799	6199
752	18852	6183
753	19117	6237
754	19324	6270
755	19400	6261
756	19447	6242
757	19532	6236
758	19597	6222
759	19688	6217
760	19713	6191
761	19737	6164
762	19758	6137
763	19781	6110
764	19806	6084
765	19829	6057
766	19851	6030
767	19873	6003
768	19898	5977
769	19924	5951
770	19950	5925
771	19981	5901
772	20005	5874
773	20028	5848
774	20051	5821
775	20076	5795
776	20100	5768
777	20122	5741
778	20144	5714
779	20165	5687
780	20188	5661
781	20216	5635
782	20244	5610
783	20267	5583
784	20290	5557
785	20338	5537
786	20443	5532
787	20576	5535
788	20682	5531
789	20867	5547
790	20950	5535
791	21028	5522
792	21068	5499
793	21109	5476
794	21152	5454
795	21316	5463
796	21367	5442
797	21407	5418
798	21432	5391
799	21463	5365
800	21532	5349
801	21602	5333
802	21679	5318
803	21750	5302
804	21823	5286
805	21865	5262
806	21919	5242
807	21982	5223
808	22045	5204
809	22084	5180
810	22151	5162
811	22201	5140
812	22263	5120
813	22297	5094
814	22363	5076
815	22396	5050
816	22427	5023
817	22461	4997
818	22484	4969
819	22505	4940
820	22527	4911
821	22563	4885
822	22600	4860
823	22644	4836
824	22688	4812
825	22731	4788
826	22774	4764
827	22812	4738
828	22870	4717
829	22909	4692
830	22967	4670
831	23074	4659
832	23133	4637
833	23208	4619
834	23261	4596
835	23330	4576
836	23382	4553
837	23443	4532
838	23499	4509
839	23561	4487
840	23628	4467
841	23682	4443
842	23750	4423
843	23812	4401
844	23864	4377
845	23916	4353
846	23983	4332
847	24036	4308
848	24067	4280
849	24103	4253
850	24141	4226
851	24175	4199
852	24203	4171
853	24240	4144
854	24270	4116
855	24312	4090
856	24383	4068
857	24443	4045
858	24484	4018
859	24559	3998
860	24611	3973
861	24661	3948
862	24712	3923
863	24758	3897
864	24809	3872
865	24838	3843
866	24863	3814
867	24894	3785
868	24918	3756
869	24939	3726
870	24965	3697
871	24990	3668
872	25011	3638
873	25031	3608
874	25054	3579
875	25080	3550
876	25104	3520
877	25126	3491
878	25146	3461
879	25173	3432
880	25200	3403
881	25231	3375
882	25261	3347
883	25321	3322
884	25372	3297
885	25411	3269
886	25457	3243
887	25518	3218
888	25547	3189
889	25575	3161
890	25607	3132
891	25634	3103
892	25666	3075
893	25692	3046
894	25719	3017
895	25745	2988
896	25772	2959
897	25802	2930
898	25838	2902
899	25862	2873
900	25891	2844
901	25919	2816
902	25946	2787
903	25972	2758
904	26019	2731
905	26055	2703
906	26124	2678
907	26203	2655
908	26261	2629
909	26325	2603
910	26366	2575
911	26405	2547
912	26440	2519
913	26472	2490
914	26526	2464
915	26558	2435
916	26586	2406
917	26624	2378
918	26673	2351
919	26723	2323
920	26772	2296
921	26821	2269
922	26860	2240
923	26901	2212
924	26948	2185
925	26991	2157
926	27036	2129
927	27087	2101
928	27133	2073
929	27188	2046
930	27238	2018
931	27324	1993
932	27411	1968
933	27488	1942
934	27556	1915
935	27618	1888
936	27672	1860
937	27734	1833
938	27798	1805
939	27886	1779
940	27942	1751
941	28020	1725
942	28073	1696
943	28137	1669
944	28190	1640
945	28254	1612
946	28304	1584
947	28359	1555
948	28423	1527
949	28492	1499
950	28566	1471
951	28598	1441
952	28675	1414
953	28755	1386
954	28826	1358
955	28899	1330
956	28942	1300
957	29001	1271
958	29049	1241
959	29089	1212
960	29167	1183
961	29240	1155
962	29326	1126
963	29408	1098
964	29488	1069
965	29559	1040
966	29639	1011
967	29719	982
968	29766	952
969	29803	921
970	29831	890
971	29855	860
972	29885	829
973	29920	798
974	29945	767
975	29975	737
976	30010	706
977	30042	675
978	30074	645
979	30108	614
980	30142	583
981	30174	553
982	30215	522
983	30251	491
984	30289	461
985	30323	430
986	30359	399
987	30389	369
988	30422	338
989	30478	307
990	30524	277
991	30584	246
992	30654	216
993	30707	185
994	30765	154
995	30802	123
996	30840	92
997	30869	61
998	30914	30
999	30987	0
